Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated,plot,cover_url,plot_combined,genre
387,tt1188729,2021-08-13,2021-08-13,"Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone.",Pandorum,https://www.imdb.com/title/tt1188729/,movie,6.7,108.0,2009,"Action, Horror, Mystery, Sci-Fi, Thriller",152797,2009-09-25,Christian Alvart,,,"Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone.",https://m.media-amazon.com/images/M/MV5BZDAzY2JkNzQtODljYS00YjIxLWIyZGMtNTUyMzg3NzNiNjc4XkEyXkFqcGdeQXVyMjQwMjk0NjI@.jpg,"Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone.
Action, Horror, Mystery, Sci-Fi, Thriller
Christian Alvart","Action, Horror, Mystery, Sci-Fi, Thriller"
388,tt0448134,2021-08-13,2021-08-13,A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,Sunshine,https://www.imdb.com/title/tt0448134/,movie,7.2,107.0,2007,"Sci-Fi, Thriller",252437,2007-03-23,Danny Boyle,,,A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,https://m.media-amazon.com/images/M/MV5BMDliNGY4ZGQtMjU5MS00ODhjLWExMDEtNzI1NmIwZDkzZWQwXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,"A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
Sci-Fi, Thriller
Danny Boyle","Sci-Fi, Thriller"
389,tt0113409,2021-08-13,2021-08-13,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,In the Mouth of Madness,https://www.imdb.com/title/tt0113409/,movie,7.1,95.0,1994,"Drama, Fantasy, Horror, Mystery, Thriller",71266,1994-08-10,John Carpenter,,,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,https://m.media-amazon.com/images/M/MV5BYjNkMWVkYTUtYzUwZi00ZWI1LTg3MzktZjVkNDQxZjFhOTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.
Drama, Fantasy, Horror, Mystery, Thriller
John Carpenter","Drama, Fantasy, Horror, Mystery, Thriller"
390,tt0238380,2021-08-13,2021-08-13,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",Equilibrium,https://www.imdb.com/title/tt0238380/,movie,7.3,107.0,2002,"Action, Drama, Sci-Fi, Thriller",333193,2002-12-06,Kurt Wimmer,,,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",https://m.media-amazon.com/images/M/MV5BMTkzMzA1OTI3N15BMl5BanBnXkFtZTYwMzUyMDg5.jpg,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.
Action, Drama, Sci-Fi, Thriller
Kurt Wimmer","Action, Drama, Sci-Fi, Thriller"
391,tt0118884,2021-08-13,2021-08-13,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",Contact,https://www.imdb.com/title/tt0118884/,movie,7.5,150.0,1997,"Drama, Mystery, Sci-Fi, Thriller",276982,1997-07-11,Robert Zemeckis,,,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",https://m.media-amazon.com/images/M/MV5BYWNkYmFiZjUtYmI3Ni00NzIwLTkxZjktN2ZkMjdhMzlkMDc3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.
Drama, Mystery, Sci-Fi, Thriller
Robert Zemeckis","Drama, Mystery, Sci-Fi, Thriller"
392,tt0095163,2021-08-13,2021-08-13,"When a young family, father, mother and their daughter, is on a trip in the mountains, they loose orientation and have to stay there for the night. The daughter finds a dead young girl who does exactly look like herself. When they check for mountain rescue service they suddenly find themselves deeply involved in an local myth about a prophecy which seems to be fulfilling now. The mountains are bearing an old curse.::Oliver Heidelbach",Der Fluch,https://www.imdb.com/title/tt0095163/,movie,6.4,88.0,1988,"Mystery, Thriller",152,1988-12-01,Ralf Huettner,,,"When a young family, father, mother and their daughter, is on a trip in the mountains, they loose orientation and have to stay there for the night. The daughter finds a dead young girl who does exactly look like herself. When they check for mountain rescue service they suddenly find themselves deeply involved in an local myth about a prophecy which seems to be fulfilling now. The mountains are bearing an old curse.::Oliver Heidelbach",https://m.media-amazon.com/images/M/MV5BNDhhODYyYWMtNTIzZC00OGFmLWIwYTItMGE4ZmMxMzMzZmQ4XkEyXkFqcGdeQXVyMjAwMzU2MDY@.jpg,"When a young family, father, mother and their daughter, is on a trip in the mountains, they loose orientation and have to stay there for the night. The daughter finds a dead young girl who does exactly look like herself. When they check for mountain rescue service they suddenly find themselves deeply involved in an local myth about a prophecy which seems to be fulfilling now. The mountains are bearing an old curse.::Oliver Heidelbach
Mystery, Thriller
Ralf Huettner","Mystery, Thriller"
393,tt0097719,2021-08-13,2021-08-13,Children have been disappearing under mysterious circumstances in a 19th century German village. A young girl soon becomes haunted by disturbing visions of the missing kids.,Laurin,https://www.imdb.com/title/tt0097719/,movie,6.3,84.0,1989,"Drama, Horror, Mystery, Thriller",865,1989-11-30,Robert Sigl,,,Children have been disappearing under mysterious circumstances in a 19th century German village. A young girl soon becomes haunted by disturbing visions of the missing kids.,https://m.media-amazon.com/images/M/MV5BNDQ4Y2Y3M2UtMGUyNi00NWRkLTk5NGYtZmU2NjEwMjRhZWI2XkEyXkFqcGdeQXVyNzgzODI1OTE@.jpg,"Children have been disappearing under mysterious circumstances in a 19th century German village. A young girl soon becomes haunted by disturbing visions of the missing kids.
Drama, Horror, Mystery, Thriller
Robert Sigl","Drama, Horror, Mystery, Thriller"
394,tt0130907,2021-08-13,2021-08-13,"The young girl Johannes is left by her mother at a solemn convent school. The school is a strange world to her, and when she feels unable to comply with the demands of faith she faces a difficult decision.",Nonnebørn,https://www.imdb.com/title/tt0130907/,movie,6.6,90.0,1997,Drama,92,1997-11-14,Cæcilia Holbek Trier,,,"The young girl Johannes is left by her mother at a solemn convent school. The school is a strange world to her, and when she feels unable to comply with the demands of faith she faces a difficult decision.",https://m.media-amazon.com/images/M/MV5BNzdmOTE5MDItYzMwZi00YTRjLWI2OGQtMDI1MzNhNzA5NDU1XkEyXkFqcGdeQXVyNjc1OTEyMTU@.jpg,"The young girl Johannes is left by her mother at a solemn convent school. The school is a strange world to her, and when she feels unable to comply with the demands of faith she faces a difficult decision.
Drama
Cæcilia Holbek Trier",Drama
395,tt4857264,2021-08-14,2021-08-14,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Contratiempo,https://www.imdb.com/title/tt4857264/,movie,8.0,106.0,2016,"Crime, Drama, Mystery, Thriller",177301,2016-09-23,Oriol Paulo,,,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,https://m.media-amazon.com/images/M/MV5BOTEwYTkzMTMtODEzNC00YWM2LTgxNDMtZWNkNTQzNDVjMWQ2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDY4NTQ1MA@@.jpg,"A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
Crime, Drama, Mystery, Thriller
Oriol Paulo","Crime, Drama, Mystery, Thriller"
396,tt3354222,2021-08-14,2021-08-14,"A group of high school students are forced to play a game of death without knowing who, why or how.",Kamisama no iu tôri,https://www.imdb.com/title/tt3354222/,movie,6.4,117.0,2014,"Adventure, Horror, Sci-Fi, Thriller",6985,2014-10-18,Takashi Miike,,,"A group of high school students are forced to play a game of death without knowing who, why or how.",https://m.media-amazon.com/images/M/MV5BMTY4NjA4MDQwOF5BMl5BanBnXkFtZTgwNDYyNDU0MzE@.jpg,"A group of high school students are forced to play a game of death without knowing who, why or how.
Adventure, Horror, Sci-Fi, Thriller
Takashi Miike","Adventure, Horror, Sci-Fi, Thriller"
397,tt7395114,2021-08-16,2021-08-16,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,The Devil All the Time,https://www.imdb.com/title/tt7395114/,movie,7.1,138.0,2020,"Crime, Drama, Thriller",136335,2020-09-10,Antonio Campos,,,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,https://m.media-amazon.com/images/M/MV5BZmE1NmVmN2EtMjZmZC00YzAyLWE4MWEtYjY5YmExMjUxODU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
Crime, Drama, Thriller
Antonio Campos","Crime, Drama, Thriller"
398,tt1954315,2021-08-16,2021-08-16,"A vagrant enters the lives of an arrogant upper-class family, turning their lives into a psychological nightmare in the process.",Borgman,https://www.imdb.com/title/tt1954315/,movie,6.7,113.0,2013,"Drama, Horror, Mystery, Thriller",18039,2013-05-19,Alex van Warmerdam,,,"A vagrant enters the lives of an arrogant upper-class family, turning their lives into a psychological nightmare in the process.",https://m.media-amazon.com/images/M/MV5BNDg5OTk0OTI3MF5BMl5BanBnXkFtZTgwMjYxMDM1MTE@.jpg,"A vagrant enters the lives of an arrogant upper-class family, turning their lives into a psychological nightmare in the process.
Drama, Horror, Mystery, Thriller
Alex van Warmerdam","Drama, Horror, Mystery, Thriller"
399,tt1989475,2021-08-21,2021-08-21,A young man held prisoner by a cab-driving serial killer must make a life or death choice between following in his captor's footsteps or breaking free.,Chained,https://www.imdb.com/title/tt1989475/,movie,6.4,94.0,2012,"Crime, Drama, Horror, Thriller",18268,2012-08-05,Jennifer Lynch,,,A young man held prisoner by a cab-driving serial killer must make a life or death choice between following in his captor's footsteps or breaking free.,https://m.media-amazon.com/images/M/MV5BOGY2NTZkMjYtY2I1Ni00MTU2LTgxMTYtYTVkMjc1Yzk5NWI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"A young man held prisoner by a cab-driving serial killer must make a life or death choice between following in his captor's footsteps or breaking free.
Crime, Drama, Horror, Thriller
Jennifer Lynch","Crime, Drama, Horror, Thriller"
400,tt10633456,2021-08-23,2021-08-23,A Korean family starts a farm in 1980s Arkansas.,Minari,https://www.imdb.com/title/tt10633456/,movie,7.4,115.0,2020,Drama,82414,2020-01-26,Lee Isaac Chung,,,A Korean family starts a farm in 1980s Arkansas.,https://m.media-amazon.com/images/M/MV5BNWEzOTNjNDgtZDhhYS00ODAxLWIzNGMtYjU3OGZhYmI3ZDU4XkEyXkFqcGdeQXVyMTAzNjk5MDI4.jpg,"A Korean family starts a farm in 1980s Arkansas.
Drama
Lee Isaac Chung",Drama
401,tt9770150,2021-08-24,2021-08-24,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",Nomadland,https://www.imdb.com/title/tt9770150/,movie,7.3,107.0,2020,Drama,162267,2020-09-11,Chloé Zhao,6.0,2021-12-08,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",https://m.media-amazon.com/images/M/MV5BMDRiZWUxNmItNDU5Yy00ODNmLTk0M2ItZjQzZTA5OTJkZjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.
Drama
Chloé Zhao",Drama
402,tt0114436,2021-08-24,2021-08-24,"Nomi, a young carefree drifter, arrives in Las Vegas, Nevada to become a dancer and soon sets about clawing her way to the top of the Vegas showgirls.",Showgirls,https://www.imdb.com/title/tt0114436/,movie,5.0,128.0,1995,Drama,69185,1995-09-21,Paul Verhoeven,,,"Nomi, a young carefree drifter, arrives in Las Vegas, Nevada to become a dancer and soon sets about clawing her way to the top of the Vegas showgirls.",https://m.media-amazon.com/images/M/MV5BNzcyMjExNjg3OF5BMl5BanBnXkFtZTgwOTY4Mjc1MDE@.jpg,"Nomi, a young carefree drifter, arrives in Las Vegas, Nevada to become a dancer and soon sets about clawing her way to the top of the Vegas showgirls.
Drama
Paul Verhoeven",Drama
403,tt0086543,2021-08-24,2021-08-24,A man who has been having visions of an impending danger begins an affair with a woman who may lead him to his doom.,De vierde man,https://www.imdb.com/title/tt0086543/,movie,7.2,102.0,1983,"Drama, Mystery, Thriller",8040,1983-03-24,Paul Verhoeven,,,A man who has been having visions of an impending danger begins an affair with a woman who may lead him to his doom.,https://m.media-amazon.com/images/M/MV5BOTZjM2U3YzUtY2U2YS00OWNiLWIyYWYtMTMyZmEwMmNhYzhiXkEyXkFqcGdeQXVyNjE5MjUyOTM@.jpg,"A man who has been having visions of an impending danger begins an affair with a woman who may lead him to his doom.
Drama, Mystery, Thriller
Paul Verhoeven","Drama, Mystery, Thriller"
404,tt0089457,2021-08-25,2021-08-25,"The thief Gaston escapes the dungeon of medieval Aquila through the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston.",Ladyhawke,https://www.imdb.com/title/tt0089457/,movie,6.9,121.0,1985,"Adventure, Comedy, Drama, Fantasy",48149,1985-03-27,Richard Donner,,,"The thief Gaston escapes the dungeon of medieval Aquila through the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston.",https://m.media-amazon.com/images/M/MV5BZjhkMmFmMGMtZTIwMy00NGE0LThkZWQtOWNjMDQ1NTY4MmNjXkEyXkFqcGdeQXVyMTY2MzYyNzA@.jpg,"The thief Gaston escapes the dungeon of medieval Aquila through the latrine. Soldiers are about to kill him when Navarre saves him. Navarre, traveling with his spirited hawk, plans to kill the bishop of Aquila with help from Gaston.
Adventure, Comedy, Drama, Fantasy
Richard Donner","Adventure, Comedy, Drama, Fantasy"
405,tt0338564,2021-08-28,2021-08-28,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Mou gaan dou,https://www.imdb.com/title/tt0338564/,movie,8.0,101.0,2002,"Action, Crime, Drama, Mystery, Thriller",125679,2002-12-12,"Andrew Lau, Alan Mak",,,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",https://m.media-amazon.com/images/M/MV5BZWM1MTdhM2YtNjgwZS00YjQ3LTk3NTQtMzQ1NDE3YzZlODFlXkEyXkFqcGdeQXVyMTI3ODAyMzE2.jpg,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.
Action, Crime, Drama, Mystery, Thriller
Andrew Lau, Alan Mak","Action, Crime, Drama, Mystery, Thriller"
406,tt0407887,2021-08-28,2021-08-28,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151.0,2006,"Crime, Drama, Thriller",1324635,2006-09-26,Martin Scorsese,,,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3.jpg,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Crime, Drama, Thriller
Martin Scorsese","Crime, Drama, Thriller"
407,tt0099685,2021-08-28,2021-08-28,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,145.0,1990,"Biography, Crime, Drama",1160362,1990-09-09,Martin Scorsese,,,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
Biography, Crime, Drama
Martin Scorsese","Biography, Crime, Drama"
408,tt1853728,2021-08-28,2021-08-28,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Django Unchained,https://www.imdb.com/title/tt1853728/,movie,8.4,165.0,2012,"Drama, Western",1551951,2012-12-11,Quentin Tarantino,,,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@.jpg,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.
Drama, Western
Quentin Tarantino","Drama, Western"
409,tt1130884,2021-08-28,2021-08-28,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Shutter Island,https://www.imdb.com/title/tt1130884/,movie,8.2,138.0,2010,"Mystery, Thriller",1313545,2010-02-13,Martin Scorsese,,,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.
Mystery, Thriller
Martin Scorsese","Mystery, Thriller"
410,tt0137523,2021-08-28,2021-08-28,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Fight Club,https://www.imdb.com/title/tt0137523/,movie,8.8,139.0,1999,Drama,2121188,1999-09-10,David Fincher,,,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Drama
David Fincher",Drama
411,tt1375666,2021-08-28,2021-08-28,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Inception,https://www.imdb.com/title/tt1375666/,movie,8.8,148.0,2010,"Action, Adventure, Sci-Fi, Thriller",2348306,2010-07-08,Christopher Nolan,,,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@.jpg,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.
Action, Adventure, Sci-Fi, Thriller
Christopher Nolan","Action, Adventure, Sci-Fi, Thriller"
412,tt0361748,2021-08-28,2021-08-28,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Inglourious Basterds,https://www.imdb.com/title/tt0361748/,movie,8.3,153.0,2009,"Adventure, Drama, War",1447764,2009-05-20,Quentin Tarantino,,,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
Adventure, Drama, War
Quentin Tarantino","Adventure, Drama, War"
413,tt0209144,2021-08-28,2021-08-28,A man with short-term memory loss attempts to track down his wife's murderer.,Memento,https://www.imdb.com/title/tt0209144/,movie,8.4,113.0,2000,"Mystery, Thriller",1238138,2000-09-05,Christopher Nolan,,,A man with short-term memory loss attempts to track down his wife's murderer.,https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"A man with short-term memory loss attempts to track down his wife's murderer.
Mystery, Thriller
Christopher Nolan","Mystery, Thriller"
414,tt0114814,2021-08-28,2021-08-28,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.5,106.0,1995,"Crime, Drama, Mystery, Thriller",1085496,1995-01-25,Bryan Singer,,,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
Crime, Drama, Mystery, Thriller
Bryan Singer","Crime, Drama, Mystery, Thriller"
415,tt0102926,2021-08-28,2021-08-28,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118.0,1991,"Crime, Drama, Thriller",1431499,1991-01-30,Jonathan Demme,,,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.
Crime, Drama, Thriller
Jonathan Demme","Crime, Drama, Thriller"
416,tt0114369,2021-08-28,2021-08-28,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127.0,1995,"Crime, Drama, Mystery, Thriller",1650182,1995-09-15,David Fincher,,,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
Crime, Drama, Mystery, Thriller
David Fincher","Crime, Drama, Mystery, Thriller"
417,tt0264464,2021-08-28,2021-08-28,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Catch Me If You Can,https://www.imdb.com/title/tt0264464/,movie,8.1,141.0,2002,"Biography, Crime, Drama",983202,2002-12-16,Steven Spielberg,,,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2.jpg,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.
Biography, Crime, Drama
Steven Spielberg","Biography, Crime, Drama"
418,tt0816692,2021-08-28,2021-08-28,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Interstellar,https://www.imdb.com/title/tt0816692/,movie,8.6,169.0,2014,"Adventure, Drama, Sci-Fi",1825745,2014-10-26,Christopher Nolan,,,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Adventure, Drama, Sci-Fi
Christopher Nolan","Adventure, Drama, Sci-Fi"
419,tt0133093,2021-08-28,2021-08-28,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",The Matrix,https://www.imdb.com/title/tt0133093/,movie,8.7,136.0,1999,"Action, Sci-Fi",1910950,1999-03-24,"Lilly Wachowski, Lana Wachowski",,,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.
Action, Sci-Fi
Lilly Wachowski, Lana Wachowski","Action, Sci-Fi"
420,tt0108052,2021-08-28,2021-08-28,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Schindler's List,https://www.imdb.com/title/tt0108052/,movie,9.0,195.0,1993,"Biography, Drama, History",1354334,1993-11-30,Steven Spielberg,,,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
Biography, Drama, History
Steven Spielberg","Biography, Drama, History"
421,tt0068646,2021-08-28,2021-08-28,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175.0,1972,"Crime, Drama",1854653,1972-03-14,Francis Ford Coppola,,,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
Crime, Drama
Francis Ford Coppola","Crime, Drama"
